Id,Label,gender,age,team（复仇者联盟、银河护卫队、神盾局）,team(正派 (Hero)、反派 (Villain)、中立 (Neutral) -主属性-只写英文）,race,first_appearance（剧中）,cleaned_year,era
"Ross, Gen. Thaddeus","Ross, Gen. Thaddeus",Male,60s,Hulkbusters,Neutral,White,1940s,1945,before 1961
"Harkness, Agatha","Harkness, Agatha",Female,300+,Darkhold Covenant,Villain,White,Ancient times,unknown,Unknown Age
"Carter, Peggy","Carter, Peggy",Female,95,SHIELD; SSR,Hero,White,1940s,1945,before 1961
Hyperion,Hyperion,Male,Unknown,Squadron Supreme,Neutral,White,1970s,1975,Bronze Age
Living Lightning / Mig,Living Lightning / Mig,Male,30s,Avengers,Hero,Latina,1990s,1995,Modern Age
"Jones, Gabe","Jones, Gabe",Male,95,SHIELD; Howling Commandos; SSR,Hero,Black,1940s,1945,before 1961
"Osborn, Liz Allan","Osborn, Liz Allan",Female,30s,Spider-Man supporting cast,Neutral,White,1960s,1965,Silver Age
"Leeds, Betty Brant","Leeds, Betty Brant",Female,30s,Spider-Man supporting cast,Neutral,White,1960s,1965,Silver Age
Sif,Sif,Female,Unknown,Asgardian Royal Family; Warriors Three,Hero,White,Ancient times,unknown,Unknown Age
Dazzler Ii / Allison B,Dazzler Ii / Allison B,Female,30s,,Hero,White,1980s,1985,Bronze Age
Molecule Man / Owen Re,Molecule Man / Owen Re,Male,40s,,Villain,White,1960s,1965,Silver Age
Speedball / Robbie Bal,Speedball / Robbie Bal,Male,25s,New Warriors,Hero,White,1980s,1985,Bronze Age
Lizard / Dr. Curtis Co,Lizard / Dr. Curtis Co,Male,45s,Sinister Six,Villain,White,1960s,1965,Silver Age
Volcana / Marsha Rosen,Volcana / Marsha Rosen,Female,30s,,Neutral,White,1980s,1985,Bronze Age
Lockheed,Lockheed,Male,Unknown,X-Men,Hero,Unknown,1980s,1985,Bronze Age
Titania Ii / Mary Skee,Titania Ii / Mary Skee,Female,30s,Masters of Evil,Villain,White,1980s,1985,Bronze Age
Boomer / Tabitha Smith,Boomer / Tabitha Smith,Female,25s,New Mutants; X-Force,Hero,White,1980s,1985,Bronze Age
"Summers, Nathan Chri","Summers, Nathan Chri",Male,35s,X-Men,Hero,White,1980s,1985,Bronze Age
"Summers, Madelyne Ma","Summers, Madelyne Ma",Female,30s,X-Men,Villain,White,1980s,1985,Bronze Age
"Mactaggert, Moira Ki","Mactaggert, Moira Ki",Female,40s,X-Men,Hero,White,1970s,1975,Bronze Age
Cannonball Ii / Sam Gu,Cannonball Ii / Sam Gu,Male,25s,New Mutants; X-Force,Hero,White,1980s,1985,Bronze Age
"Tilby, Trish / Patrici","Tilby, Trish / Patrici",Female,30s,X-Men supporting cast,Neutral,White,1980s,1985,Bronze Age
Skids / Sally Blevins,Skids / Sally Blevins,Female,25s,X-Men,Hero,White,1980s,1985,Bronze Age
Wolfsbane / Rahne Sinc,Wolfsbane / Rahne Sinc,Female,25s,New Mutants; X-Force,Hero,White,1980s,1985,Bronze Age
Leech,Leech,Male,18s,Morlocks,Hero,Unknown,1980s,1985,Bronze Age
Mirage Ii / Danielle M,Mirage Ii / Danielle M,Female,25s,New Mutants,Hero,Native America,1980s,1985,Bronze Age
Gambit / Remy Lebeau,Gambit / Remy Lebeau,Male,30s,X-Men,Hero,White,1990s,1995,Modern Age
Jubilee / Jubilation L,Jubilee / Jubilation L,Female,25s,X-Men,Hero,Asian,1990s,1995,Modern Age
Strong Guy / Guido Car,Strong Guy / Guido Car,Male,30s,X-Factor,Hero,White,1990s,1995,Modern Age
Spiral,Spiral,Female,Unknown,,Villain,Unknown,1980s,1985,Bronze Age
Banshee / Sean Cassidy,Banshee / Sean Cassidy,Male,40s,X-Men,Hero,White,1960s,1965,Silver Age
Legion Ii / David Hall,Legion Ii / David Hall,Male,30s,X-Men,Neutral,White,1980s,1985,Bronze Age
Havok / Alex Summers,Havok / Alex Summers,Male,30s,X-Men,Hero,White,1960s,1965,Silver Age
Longshot,Longshot,Male,Unknown,X-Men,Hero,Unknown,1980s,1985,Bronze Age
Forge,Forge,Male,35s,X-Men,Hero,Native America,1980s,1985,Bronze Age
Sabretooth / Victor Cr,Sabretooth / Victor Cr,Male,100+,Brotherhood of Evil Mutants,Villain,White,1970s,1975,Bronze Age
"Maddicks, Arthur Art","Maddicks, Arthur Art",Male,18s,X-Men,Hero,White,1980s,1985,Bronze Age
Warlock Iii,Warlock Iii,Male,Unknown,New Mutants ,Hero,Unknown,1980s,1985,Bronze Age
Rictor / Julio Esteban,Rictor / Julio Esteban,Male,25s,X-Men,Hero,Latina,1990s,1995,Modern Age
Sunspot / Roberto Daco,Sunspot / Roberto Daco,Male,25s,New Mutants; X-Force,Hero,Latina,1980s,1985,Bronze Age
Firefist / Rusty Colli,Firefist / Rusty Colli,Male,25s,New Mutants,Hero,White,1990s,1995,Modern Age
Bishop  / ,Bishop  / ,Male,30s,X-Men,Hero,Black,1990s,1995,Modern Age
Daytripper / Amanda Se,Daytripper / Amanda Se,Female,30s,X-Men,Hero,White,1980s,1985,Bronze Age
Wild Child / Kyle Gibn,Wild Child / Kyle Gibn,Male,30s,X-Men,Villain,White,1980s,1985,Bronze Age
Thunderbird Ii / James,Thunderbird Ii / James,Male,25s,X-Men,Hero,Native America,1970s,1975,Bronze Age
Sauron / Dr. Karl Lyko,Sauron / Dr. Karl Lyko,Male,40s,X-Men villains,Villain,White,1970s,1975,Bronze Age
Siryn / Theresa Rourke,Siryn / Theresa Rourke,Female,25s,X-Force,Hero,White,1990s,1995,Modern Age
Shatterstar Ii / Gavee,Shatterstar Ii / Gavee,Male,Unknown,X-Force,Hero,Unknown,1990s,1995,Modern Age
Marrow / Sarah,Marrow / Sarah,Female,25s,X-Men,Villain,White,1990s,1995,Modern Age
Feral / Maria Callasan,Feral / Maria Callasan,Female,25s,X-Force,Villain,White,1990s,1995,Modern Age
Callisto,Callisto,Female,35s,Morlocks,Neutral,Unknown,1980s,1985,Bronze Age
Mr. Sinister / Nathan,Mr. Sinister / Nathan,Male,180s,"Marauders, Hellfire Club",villain,White,1987,1987,Modern Age
Raza Longknife,Raza Longknife,Male,45s,Starjammers,Anti-Hero,Unknown,1977,1977,Bronze Age
Spider-woman / Jessica,Spider-woman / Jessica,Female,35s,"Avengers, S.W.O.R.D.",hero,White,1977,1977,Bronze Age
Cypher / Doug Ramsey,Cypher / Doug Ramsey,male,25s,"X-Men, New Mutants",hero,White,1984,1984,Bronze Age
Deathbird [shi'ar],Deathbird [shi'ar],Female,1000,Shi'ar Imperial Family,villain,Unknown,1976,1976,Bronze Age
"Hudson, Heather","Hudson, Heather",Female,35s,Alpha Flight,hero,White,1983,1983,Bronze Age
Stryfe,Stryfe,Male,30s,Mutant Liberation Front,villain,White,1990,1990,Modern Age
Iron Man Doppelgange,Iron Man Doppelgange,Male,Not in MCU,Doppelganger Army (Infinity War),villain,Unknown,1992,1992,Modern Age
Puck / Eugene Milton J,Puck / Eugene Milton J,Male,150s,Alpha Flight,hero,White,1983,1983,Bronze Age
Silhouette,Silhouette,Female,25s,New Warriors,hero,Black,1993,1993,Modern Age
"Cortez, Fabian","Cortez, Fabian",Male,35s,Acolytes,villain,White,1991,1991,Modern Age
Black King / Sebastian,Black King / Sebastian,Male,50s,Hellfire Club,villain,White,1980,1980,Bronze Age
Magik / Illyana Rasput,Magik / Illyana Rasput,Female,25s,"X-Men, New Mutants",hero,White,1975,1975,Bronze Age
Zabu,Zabu,xiongxing,50s,Ally of Ka-Zar,hero,Unknown,1965,1965,Silver Age
Domino Iii / Beatrice / ,Domino Iii / Beatrice / ,Female,30s,X-Force,Anti-Hero,White,1991,1991,Modern Age
Caliban / ,Caliban / ,Male,40s,"Morlocks, X-Men",neutral,White,1981,1981,Bronze Age
Apocalypse / En Sabah,Apocalypse / En Sabah,Male,5000s,Apocalypse's Horsemen,villain,Egyptian,1986,1986,Modern Age
"Hunter, Stevie","Hunter, Stevie",Female,45s,Xavier Institute,hero,White,1980,1980,Bronze Age
Corsair,Corsair,Male,60s,Starjammers,hero,White,1969,1969,Silver Age
Ch'od,Ch'od,Male,1000,Starjammers,hero,Unknown,1977,1977,Bronze Age
Mam'selle Hepzibah,Mam'selle Hepzibah,Female,1000,Starjammers,hero,Unknown,1977,1977,Bronze Age
Zero,Zero,Male,20s,Generation X,neutral,Unknown,1995,1995,Modern Age
X-man / Nathan Grey,X-man / Nathan Grey,Male,25s,X-Men,hero,White,1995,1995,Modern Age
Karma / Xi'an Coy Manh,Karma / Xi'an Coy Manh,Female,35s,New Mutants,hero,Asian,1980,1980,Bronze Age
Mr. Fantastic Doppel,Mr. Fantastic Doppel,Male,Not in MCU,Doppelganger Army (Infinity War),villain,Unknown,1989,1989,Modern Age
Beyonder,Beyonder,Male,Not in MCU,Cosmic Entity,neutral,Unknown,1984,1984,Bronze Age
Multiple Man / James A,Multiple Man / James A,Male,30s,X-Factor,hero,White,1985,1985,Bronze Age
Colossus Ii Doppelga,Colossus Ii Doppelga,Male,Not in MCU,Doppelganger Army (Infinity War),villain,Unknown,1989,1989,Modern Age
Scanner Ii,Scanner Ii,Female,25s,Acolytes,hero,White,1994,1994,Modern Age
Ka-zar / Kevin Plunder,Ka-zar / Kevin Plunder,Male,35s,"Ally of X-Men, Avengers",hero,White,1965,1965,Silver Age
White Queen / Emma Fro,White Queen / Emma Fro,Female,40s,"X-Men, Hellfire Club",hero,White,1980,1980,Bronze Age
Magma / Amara Aquilla / ,Magma / Amara Aquilla / ,Female,25s,New Mutants,hero,White,1983,1983,Bronze Age
Thanos Doppelganger,Thanos Doppelganger,Male,Not in MCU ,Doppelganger Army (Infinity War),villain,Unknown,1989,1989,Modern Age
Magus,Magus,Male,1000,Universal Church of Truth,villain,Unknown,1975,1975,Bronze Age
"Knight, Misty","Knight, Misty",Female,35s,Heroes for Hire,hero,Black,1975,1975,Bronze Age
"Wing, Colleen","Wing, Colleen",Female,35s,Heroes for Hire,hero,Asian,1976,1976,Bronze Age
Puppet Master / Philli,Puppet Master / Philli,Male,60s,Enemy of Fantastic Four,villain,White,1941,1941,before 1961
Maximus [inhuman],Maximus [inhuman],Male,100+ (Enhanced),Inhuman Royal Family,villain,White,1965,1965,Silver Age
Punisher Ii / Frank Ca,Punisher Ii / Frank Ca,Male,40s,Independent Vigilante,Anti-Hero,White,1974,1974,Bronze Age
Zeus,Zeus,Male,数千岁,Olympian Gods,neutral,Unknown,1949,1949,before 1961
Box Iv / Madison Jeffr,Box Iv / Madison Jeffr,Male,35s,Alpha Flight,hero,White,1984,1984,Bronze Age
Thena,Thena,Female,20000+,Eternals,hero,Unknown,1976,1976,Bronze Age
Black Cat / Felicia Ha,Black Cat / Felicia Ha,Female,28s,Independent Anti-Hero,Anti-Hero,White,1979,1979,Bronze Age
Gee / Alex Power,Gee / Alex Power,Male,20s,Power Pack,hero,White,1984,1984,Bronze Age
Spider-man Clone / Ben,Spider-man Clone / Ben,Male,25s,Scarlet Spider,hero,White,1975,1975,Bronze Age
Ulik,Ulik,Male,1000+,Enemy of Asgard,villain,Unknown,1967,1967,Silver Age
Citizen V Ii / Helmut,Citizen V Ii / Helmut,Male,45s,Masters of Evil,villain,White,1973,1973,Bronze Age
High Evolutionary / He,High Evolutionary / He,Male,200+,Independent Scientist,neutral,White,1966,1966,Silver Age
Hobgoblin V / Jason Ph,Hobgoblin V / Jason Ph,Male,40s,Enemy of Spider-Man,villain,White,1981,1981,Bronze Age
Ghost Rider Iii / Dan,Ghost Rider Iii / Dan,Male,30s,Midnight Sons,hero,White,1990,1990,Modern Age
"Cushing, Kate","Cushing, Kate",Female,35s,Daily Bugle Staff,neutral,White,1990,1990,Modern Age
"Katzenberg, Nick","Katzenberg, Nick",Male,35s,Daily Bugle Staff,neutral,White,1990,1990,Modern Age
Vizier,Vizier,Male,1000+,Ally of Loki,villain,Unknown,1967,1967,Silver Age
Tombstone / Lonnie Tho,Tombstone / Lonnie Tho,Male,45s,Crime Syndicate,villain,Black,1988,1988,Modern Age
"Mercado, Joy","Mercado, Joy",Female,25s,Daily Bugle Staff,neutral,hispanic,1994,1994,Modern Age
Hammerhead,Hammerhead,Male,40s,Crime Syndicate,villain,White,1972,1972,Bronze Age
Arranger / ,Arranger / ,Male,40s,Kingpin's Organization,villain,White,1987,1987,Modern Age
"Osborn, Harry","Osborn, Harry",Male,28s,Green Goblin,Anti-Hero,White,1965,1965,Silver Age
Cobra / Klaus Vorhees,Cobra / Klaus Vorhees,Male,50s,Serpent Society,villain,White,1963,1963,Silver Age
"Leeds, Ned","Leeds, Ned",Male,28s,Daily Bugle Staff,neutral,White,1964,1964,Silver Age
"Watson, Anna","Watson, Anna",Female,60s,Civilian,neutral,White,1965,1965,Silver Age
"Urich, Ben","Urich, Ben",Male,50s,Daily Bugle Staff,neutral,White,1976,1976,Bronze Age
"Robertson, Randy","Robertson, Randy",Male,30s,Daily Bugle Staff,neutral,Black,1987,1987,Modern Age
"Page, Karen","Page, Karen",Female,30s,Civilian,neutral,White,1964,1964,Silver Age
"Grant, Gloria Glory","Grant, Gloria Glory",Female,30s,Daily Bugle Staff,neutral,Black,1974,1974,Bronze Age
"Lubenski, Nate","Lubenski, Nate",Male,50s,NYPD,neutral,White,1976,1976,Bronze Age
Ikaris / Ike Harris [e,Ikaris / Ike Harris [e,Male,20000+,Eternals,hero,Unknown,1976,1976,Bronze Age
"Rosenthal, Bernie","Rosenthal, Bernie",Male,35s,Civilian,neutral,White,1981,1981,Bronze Age
Gladiator Ii,Gladiator Ii,Male,30s,Shi'ar Imperial Guard,hero,Unknown,1992,1992,Modern Age
Beta Ray Bill,Beta Ray Bill,Male,1000+ ,Ally of Thor,hero,Unknown,1983,1983,Bronze Age
"Bridge, George Washi","Bridge, George Washi",Male,40s,S.H.I.E.L.D.,hero,Black,1988,1988,Modern Age
Diamond Lil / Lillian,Diamond Lil / Lillian,Female,35s,Alpha Flight,hero,White,1983,1983,Bronze Age
Asp Ii / Cleo,Asp Ii / Cleo,Female,30s,Serpent Society,villain,Egyptian,1985,1985,Bronze Age
Black Mamba / Tanya Se,Black Mamba / Tanya Se,Female,30s,Serpent Society,villain,Black,1985,1985,Bronze Age
Meggan,Meggan,Female,25s,Excalibur,hero,Unknown,1983,1983,Bronze Age
"Austin, Susan","Austin, Susan",Female,30s,Daily Bugle Staff,neutral,White,1990,1990,Modern Age
Diamondback Ii / Rache,Diamondback Ii / Rache,Female,30s,Serpent Society,villain,White,1986,1986,Modern Age
Makkari / Mike Khary / I,Makkari / Mike Khary / I,Female,20000+,Eternals,hero,Unknown,1976,1976,Bronze Age
"Hodge, Cameron","Hodge, Cameron",Male,40s,Anti-Mutant Extremist,villain,White,1986,1986,Modern Age
Skin / Angelo Espinosa,Skin / Angelo Espinosa,Male,20s,Generation X,hero,hispanic,1994,1994,Modern Age
Husk / Paige Guthrie,Husk / Paige Guthrie,Female,25s,Generation X,hero,White,1994,1994,Modern Age
Deadpool / Jack / Wade W,Deadpool / Jack / Wade W,Male,35s,"X-Force, Mercenary",Anti-Hero,White,1991,1991,Modern Age
